@RELATION snake_game_train

@ATTRIBUTE snake_length NUMERIC
@ATTRIBUTE snake_x {WEST, EAST}
@ATTRIBUTE snake_y {NORTH, SOUTH}
@ATTRIBUTE food_x {WEST, EAST}
@ATTRIBUTE food_y {NORTH, SOUTH}
@ATTRIBUTE rel_pos {0, 1, 2, 3}
@ATTRIBUTE score NUMERIC
@ATTRIBUTE direction {NORTH, SOUTH, WEST, EAST}

@DATA
30,EAST,NORTH,EAST,NORTH,1,1793,EAST
14,WEST,SOUTH,WEST,SOUTH,2,674,WEST
18,WEST,SOUTH,WEST,NORTH,1,998,NORTH
33,WEST,NORTH,EAST,NORTH,1,1840,NORTH
23,WEST,SOUTH,WEST,SOUTH,0,1317,WEST
30,WEST,NORTH,WEST,NORTH,1,1671,SOUTH
5,EAST,NORTH,WEST,SOUTH,2,113,WEST
15,WEST,NORTH,WEST,NORTH,3,795,SOUTH
13,EAST,NORTH,EAST,SOUTH,3,622,EAST
7,WEST,SOUTH,WEST,NORTH,1,280,NORTH
7,EAST,SOUTH,EAST,SOUTH,3,280,EAST
40,WEST,NORTH,EAST,SOUTH,3,2274,SOUTH
42,WEST,SOUTH,WEST,NORTH,0,2344,NORTH
4,WEST,SOUTH,WEST,SOUTH,1,47,NORTH
3,WEST,NORTH,EAST,NORTH,3,-10,SOUTH
13,WEST,NORTH,WEST,NORTH,2,671,WEST
13,EAST,NORTH,EAST,SOUTH,3,652,EAST
17,WEST,SOUTH,WEST,NORTH,0,957,WEST
34,EAST,NORTH,WEST,NORTH,0,2034,WEST
33,WEST,SOUTH,EAST,NORTH,1,1869,WEST
13,WEST,NORTH,WEST,NORTH,2,668,WEST
11,WEST,SOUTH,WEST,NORTH,1,524,NORTH
20,EAST,SOUTH,EAST,SOUTH,1,1145,EAST
16,EAST,SOUTH,WEST,SOUTH,0,868,WEST
42,WEST,SOUTH,WEST,NORTH,0,2346,NORTH
50,WEST,SOUTH,EAST,NORTH,1,2788,NORTH
34,EAST,NORTH,EAST,NORTH,3,2012,EAST
13,EAST,SOUTH,WEST,NORTH,0,654,WEST
8,WEST,SOUTH,WEST,SOUTH,2,349,SOUTH
37,WEST,NORTH,WEST,NORTH,0,2185,EAST
30,WEST,SOUTH,WEST,NORTH,1,1655,NORTH
26,EAST,NORTH,WEST,NORTH,2,1481,WEST
12,EAST,SOUTH,EAST,NORTH,1,631,WEST
6,WEST,NORTH,WEST,SOUTH,3,231,SOUTH
9,WEST,SOUTH,EAST,NORTH,1,428,NORTH
15,EAST,SOUTH,WEST,SOUTH,2,729,SOUTH
11,WEST,SOUTH,WEST,NORTH,1,534,EAST
16,EAST,NORTH,EAST,SOUTH,3,867,SOUTH
35,WEST,NORTH,EAST,SOUTH,3,2096,SOUTH
24,EAST,NORTH,EAST,NORTH,1,1367,EAST
20,WEST,SOUTH,WEST,SOUTH,2,1096,WEST
9,EAST,NORTH,WEST,SOUTH,2,385,WEST
28,EAST,SOUTH,EAST,NORTH,1,1560,NORTH
7,EAST,NORTH,EAST,NORTH,1,203,EAST
37,WEST,NORTH,EAST,NORTH,1,2074,NORTH
33,EAST,NORTH,EAST,NORTH,0,1952,NORTH
25,EAST,SOUTH,WEST,SOUTH,2,1420,SOUTH
14,WEST,NORTH,EAST,NORTH,1,751,EAST
14,EAST,SOUTH,EAST,NORTH,0,708,NORTH
30,WEST,NORTH,WEST,NORTH,1,1668,SOUTH
33,WEST,NORTH,WEST,SOUTH,2,1983,WEST
10,WEST,NORTH,WEST,SOUTH,2,483,WEST
15,EAST,NORTH,WEST,SOUTH,2,742,SOUTH
44,EAST,NORTH,WEST,NORTH,0,2457,EAST
15,EAST,SOUTH,WEST,SOUTH,0,720,WEST
25,EAST,SOUTH,EAST,SOUTH,1,1474,SOUTH
26,EAST,SOUTH,EAST,SOUTH,0,1547,WEST
51,EAST,SOUTH,EAST,SOUTH,3,2836,SOUTH
17,WEST,NORTH,WEST,SOUTH,2,841,SOUTH
34,WEST,NORTH,WEST,SOUTH,2,1904,WEST
25,EAST,NORTH,EAST,NORTH,0,1386,NORTH
17,WEST,NORTH,WEST,SOUTH,2,844,SOUTH
48,WEST,SOUTH,EAST,NORTH,1,2710,EAST
11,WEST,SOUTH,WEST,NORTH,1,526,EAST
46,WEST,NORTH,WEST,SOUTH,2,2560,SOUTH
16,WEST,NORTH,WEST,NORTH,0,787,NORTH
23,EAST,SOUTH,EAST,NORTH,1,1299,NORTH
3,WEST,NORTH,EAST,NORTH,1,-1,EAST
6,WEST,SOUTH,WEST,SOUTH,1,205,EAST
6,WEST,SOUTH,WEST,SOUTH,1,206,EAST
24,WEST,SOUTH,WEST,SOUTH,0,1420,NORTH
29,WEST,NORTH,WEST,NORTH,0,1594,WEST
29,WEST,SOUTH,WEST,SOUTH,3,1673,NORTH
22,EAST,SOUTH,WEST,SOUTH,2,1317,WEST
8,EAST,NORTH,EAST,NORTH,1,341,EAST
22,EAST,SOUTH,WEST,SOUTH,2,1240,WEST
32,WEST,SOUTH,WEST,SOUTH,0,1779,WEST
35,EAST,NORTH,WEST,NORTH,0,1947,NORTH
24,EAST,NORTH,WEST,NORTH,0,1425,SOUTH
20,WEST,SOUTH,WEST,SOUTH,3,1092,SOUTH
14,EAST,SOUTH,WEST,SOUTH,2,703,SOUTH
10,EAST,NORTH,EAST,NORTH,0,466,WEST
7,EAST,SOUTH,EAST,SOUTH,2,278,EAST
31,WEST,NORTH,WEST,NORTH,2,1857,WEST
38,EAST,NORTH,WEST,SOUTH,2,2163,EAST
43,EAST,SOUTH,EAST,NORTH,1,2366,EAST
16,EAST,NORTH,EAST,SOUTH,3,881,EAST
12,EAST,SOUTH,EAST,SOUTH,2,563,SOUTH
32,WEST,SOUTH,WEST,SOUTH,0,1798,EAST
6,WEST,SOUTH,WEST,SOUTH,1,202,EAST
26,WEST,NORTH,EAST,NORTH,1,1448,NORTH
21,WEST,SOUTH,WEST,SOUTH,2,1218,NORTH
35,EAST,NORTH,WEST,NORTH,0,1936,NORTH
11,WEST,SOUTH,WEST,NORTH,1,532,EAST
15,WEST,NORTH,WEST,NORTH,3,802,EAST
34,WEST,NORTH,WEST,NORTH,0,2007,WEST
5,WEST,NORTH,WEST,NORTH,1,137,NORTH
38,EAST,NORTH,WEST,SOUTH,2,2148,SOUTH
23,EAST,NORTH,EAST,NORTH,0,1262,NORTH
25,EAST,NORTH,EAST,NORTH,0,1389,NORTH
7,WEST,SOUTH,EAST,SOUTH,3,293,EAST
17,WEST,NORTH,WEST,SOUTH,2,849,SOUTH
8,EAST,NORTH,EAST,NORTH,1,331,EAST
36,EAST,SOUTH,WEST,NORTH,0,2112,WEST
9,EAST,SOUTH,EAST,NORTH,1,452,NORTH
32,WEST,NORTH,WEST,NORTH,1,1928,EAST
23,EAST,SOUTH,EAST,SOUTH,0,1365,EAST
11,EAST,NORTH,EAST,SOUTH,2,494,SOUTH
9,WEST,SOUTH,WEST,NORTH,0,413,NORTH
38,EAST,NORTH,WEST,SOUTH,2,2153,SOUTH
18,WEST,NORTH,WEST,SOUTH,2,973,SOUTH
44,EAST,SOUTH,WEST,NORTH,0,2432,NORTH
3,WEST,NORTH,WEST,SOUTH,2,-10,EAST
25,EAST,SOUTH,EAST,SOUTH,3,1489,EAST
26,EAST,NORTH,WEST,NORTH,2,1479,WEST
31,EAST,NORTH,WEST,NORTH,2,1881,WEST
24,WEST,SOUTH,EAST,NORTH,1,1416,WEST
34,EAST,NORTH,WEST,SOUTH,2,1926,EAST
25,WEST,SOUTH,WEST,SOUTH,3,1489,SOUTH
41,EAST,SOUTH,WEST,SOUTH,2,2294,SOUTH
54,EAST,NORTH,EAST,NORTH,1,3050,NORTH
8,WEST,SOUTH,WEST,SOUTH,2,294,SOUTH
16,WEST,NORTH,WEST,NORTH,0,791,NORTH
6,WEST,SOUTH,WEST,SOUTH,3,212,EAST
10,EAST,NORTH,EAST,NORTH,1,417,EAST
7,EAST,NORTH,EAST,NORTH,1,205,SOUTH
15,EAST,SOUTH,WEST,SOUTH,2,728,SOUTH
23,EAST,SOUTH,EAST,NORTH,1,1290,EAST
28,WEST,SOUTH,WEST,SOUTH,2,1592,WEST
